id;start_date;end_date;language
1;2019-12-17T09:56:33;2019-12-17T03:04:50;FRENCH
2;2019-12-16T20:32:49;2019-12-17T09:18:30;ENGLISH
3;2019-12-16T19:59:16;2019-12-16T21:55:35;FRENCH
4;2019-12-17T07:45:06;2019-12-17T00:06:44;ENGLISH
5;2019-12-17T10:54:41;2019-12-17T11:29:38;FRENCH
6;2019-12-16T17:09:58;2019-12-16T14:11:21;SPANISH
7;2019-12-17T02:20:02;2019-12-17T05:23:09;ENGLISH
8;2019-12-17T04:07:59;2019-12-17T12:32:37;FRENCH
9;2019-12-17T04:42:23;2019-12-17T13:19:47;ENGLISH
10;2019-12-16T21:53:19;2019-12-16T21:16:55;SPANISH
